drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
adagrasib,known_answer,3POZ,EGFR,WT,-1.76,-5.51184,1.95441,0.04295,7.19377
adagrasib,known_answer,4I24,EGFR,T790M,-2.86,-3.40077,4.5683,0.04476,6.7041
adagrasib,known_answer,4LDJ,KRAS,G12C,-3.72,-6.11223,5.40184,0.05952,5.79638
adagrasib,known_answer,5UGC,EGFR,L858R+T790M,-2.28,-6.16797,2.51865,0.00888,5.86707
adagrasib,known_answer,6OIM,KRAS,G12C+sotorasib,-2.32,-6.87266,2.75019,0.26804,6.98789
adagrasib,known_answer,8A2B,EGFR,L858R,-1.43,-6.75449,0.89194,0.20635,7.59756
adagrasib,known_answer,8FMI,KRAS,WT,-4.12,-3.13669,6.16111,0.13657,4.15395
afatinib,egfr_family,3POZ,EGFR,WT,-1.2,-8.02424,3.34523,0.14619,6.91762
afatinib,egfr_family,4I24,EGFR,T790M,0.06,-9.24179,0.78622,0.98068,8.62422
afatinib,egfr_family,4LDJ,KRAS,G12C,-1.85,-5.75706,1.68661,0.40997,6.47462
afatinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.51,-6.70171,3.53276,0.21217,7.08802
afatinib,egfr_family,6OIM,KRAS,G12C+sotorasib,-1.62,-7.03657,3.06106,0.06442,5.74495
afatinib,egfr_family,8A2B,EGFR,L858R,-0.53,-7.22182,0.96152,0.89392,7.81411
afatinib,egfr_family,8FMI,KRAS,WT,-1.76,-6.37118,1.97834,0.36455,6.71082
aspirin,repurposing_candidate,3POZ,EGFR,WT,0.38,-6.65223,0.52829,0.79806,4.40177
aspirin,repurposing_candidate,4I24,EGFR,T790M,-0.22,-5.44308,1.93164,0.46492,3.73872
aspirin,repurposing_candidate,4LDJ,KRAS,G12C,-0.65,-4.8547,1.37372,0.79416,3.79469
aspirin,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.08,-5.90325,0.39044,0.77649,4.67648
aspirin,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-5.01,-2.30168,4.99741,0.35452,2.82474
aspirin,repurposing_candidate,8A2B,EGFR,L858R,-0.26,-4.98833,1.32431,0.45454,3.83896
aspirin,repurposing_candidate,8FMI,KRAS,WT,-0.26,-5.33572,0.73578,0.88024,4.06867
cimetidine,repurposing_candidate,3POZ,EGFR,WT,-0.03,-5.48524,1.05421,0.31503,5.74018
cimetidine,repurposing_candidate,4I24,EGFR,T790M,-0.6,-4.55698,1.48666,0.10534,4.71537
cimetidine,repurposing_candidate,4LDJ,KRAS,G12C,-0.62,-5.33952,1.83815,0.68011,5.12481
cimetidine,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.71,-4.83969,1.81802,0.44082,6.19224
cimetidine,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.7,-2.98224,5.29698,0.17729,3.74723
cimetidine,repurposing_candidate,8A2B,EGFR,L858R,0.07,-5.96559,1.04542,0.5227,5.3702
cimetidine,repurposing_candidate,8FMI,KRAS,WT,-0.53,-4.09726,0.67695,0.54496,4.79499
