rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,amitriptyline,approved_library,3POZ,EGFR,WT,-0.62,-3.71801,1.07941,0.34278,5.82065
1,amitriptyline,approved_library,5UGC,EGFR,L858R+T790M,-0.7,-7.87012,0.7567,0.15575,5.12217
1,apomorphine,approved_library,3POZ,EGFR,WT,0.71,-9.46773,0.46178,0.78862,5.68164
1,apomorphine,approved_library,5UGC,EGFR,L858R+T790M,0.36,-9.47777,0.8484,0.90073,6.33625
1,bromazepam,approved_library,3POZ,EGFR,WT,-0.13,-5.46356,1.03796,0.66243,6.23415
1,bromazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.02,-7.56482,2.14049,0.89642,6.75721
1,bromocriptine,approved_library,3POZ,EGFR,WT,-1.09,-9.23007,1.23346,0.11238,6.90056
1,bromocriptine,approved_library,5UGC,EGFR,L858R+T790M,-2.63,27.55537,0.93934,0.3439,7.63162
1,cefprozil-anhydrous-e,approved_library,3POZ,EGFR,WT,-0.97,-7.6892,1.39832,0.18329,5.79887
1,cefprozil-anhydrous-e,approved_library,5UGC,EGFR,L858R+T790M,-0.93,-6.91552,1.94364,0.04207,5.18537
1,chlorpromazine,approved_library,3POZ,EGFR,WT,-0.64,-3.4496,0.67318,0.23675,5.65832
1,chlorpromazine,approved_library,5UGC,EGFR,L858R+T790M,-1.02,-5.69243,2.8024,0.11559,4.95847
1,citalopram,approved_library,3POZ,EGFR,WT,-0.35,-6.06109,1.28377,0.53143,6.17601
1,citalopram,approved_library,5UGC,EGFR,L858R+T790M,-1.07,-7.591,2.62902,0.22538,5.02562
1,clomipramine,approved_library,3POZ,EGFR,WT,-1.07,-7.18609,3.30079,0.17313,5.49733
1,clomipramine,approved_library,5UGC,EGFR,L858R+T790M,-0.64,-8.04613,1.17935,0.79898,6.27921
1,clonazepam,approved_library,3POZ,EGFR,WT,-0.43,-7.58757,0.53784,0.80221,6.50536
1,clonazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.16,-7.9131,0.51602,0.9541,6.93459
1,cyproheptadine,approved_library,3POZ,EGFR,WT,-1.3,-7.14534,7.12748,0.03365,3.88979
1,cyproheptadine,approved_library,5UGC,EGFR,L858R+T790M,-0.62,-3.42746,2.26443,0.11142,5.20708
1,diazepam,approved_library,3POZ,EGFR,WT,-0.08,-6.26006,1.17494,0.58169,5.82324
1,diazepam,approved_library,5UGC,EGFR,L858R+T790M,-1.04,-7.42149,2.51747,0.78894,6.3616
1,ergotamine,approved_library,3POZ,EGFR,WT,-1.78,-5.86203,2.46715,0.02447,6.28928
1,ergotamine,approved_library,5UGC,EGFR,L858R+T790M,-1.95,-10.53196,0.84119,0.23631,6.89438
1,fenoldopam,approved_library,3POZ,EGFR,WT,0.06,-7.25566,2.0706,0.30417,5.64211
1,fenoldopam,approved_library,5UGC,EGFR,L858R+T790M,0.41,-9.23169,0.69012,0.84224,6.37309
1,fluoxetine,approved_library,3POZ,EGFR,WT,-0.51,-7.66163,2.32369,0.32791,5.25397
1,fluoxetine,approved_library,5UGC,EGFR,L858R+T790M,-0.75,-7.82572,2.02281,0.41781,5.40265
1,gemfibrozil,approved_library,3POZ,EGFR,WT,-1.06,-4.79112,0.90302,0.26888,4.83826
1,gemfibrozil,approved_library,5UGC,EGFR,L858R+T790M,-0.75,-5.4648,1.07691,0.15177,4.7554
1,gemifloxacin,approved_library,3POZ,EGFR,WT,-0.05,-6.78719,1.38961,0.63506,6.73807
1,gemifloxacin,approved_library,5UGC,EGFR,L858R+T790M,-0.26,-8.13639,1.17864,0.52858,6.9753
1,indinavir-anhydrous,approved_library,3POZ,EGFR,WT,-1.25,-6.86773,2.5851,0.09351,6.64538
1,indinavir-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,-3.0,-6.66266,2.55447,0.07746,6.81554
1,levofloxacin-anhydrous,approved_library,3POZ,EGFR,WT,0.19,-7.38285,0.69875,0.75276,6.65391
1,levofloxacin-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,0.49,-8.37408,0.83756,0.41479,6.16318
1,levorphanol,approved_library,3POZ,EGFR,WT,-0.79,-7.25782,2.15797,0.11702,4.98746
1,levorphanol,approved_library,5UGC,EGFR,L858R+T790M,-1.09,-6.51678,2.15869,0.19599,5.64199
1,lorazepam,approved_library,3POZ,EGFR,WT,-0.22,-7.77696,1.35978,0.78444,6.06223
1,lorazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.07,-7.11068,2.46015,0.82783,6.64846
1,mitoxantrone,approved_library,3POZ,EGFR,WT,-1.01,-7.57269,1.47927,0.79225,6.69692
1,mitoxantrone,approved_library,5UGC,EGFR,L858R+T790M,0.02,-8.30137,1.54741,0.95893,7.85274
1,molindone,approved_library,3POZ,EGFR,WT,-0.37,-5.79946,0.75838,0.36927,5.44757
1,molindone,approved_library,5UGC,EGFR,L858R+T790M,-0.51,-5.87017,1.54019,0.21757,5.68663
1,morphine,approved_library,3POZ,EGFR,WT,-0.48,-6.79254,2.29468,0.07568,4.9262
1,morphine,approved_library,5UGC,EGFR,L858R+T790M,-0.43,-7.27092,1.89493,0.58144,5.92887
1,moxifloxacin,approved_library,3POZ,EGFR,WT,-0.8,-3.30188,1.02956,0.05015,5.52551
1,moxifloxacin,approved_library,5UGC,EGFR,L858R+T790M,0.17,-8.25457,1.03268,0.56242,7.02161
1,nomifensine,approved_library,3POZ,EGFR,WT,-0.7,-7.22475,2.73068,0.08135,4.23823
1,nomifensine,approved_library,5UGC,EGFR,L858R+T790M,-0.42,-8.0754,1.28816,0.72229,5.88458
1,probucol,approved_library,3POZ,EGFR,WT,-1.2,-7.08889,1.24272,0.10971,6.35788
1,probucol,approved_library,5UGC,EGFR,L858R+T790M,-2.74,-5.89458,3.14734,0.08245,6.5738
1,procaine,approved_library,3POZ,EGFR,WT,-0.94,-5.06251,1.19339,0.09816,4.2694
1,procaine,approved_library,5UGC,EGFR,L858R+T790M,0.07,-6.32743,0.94499,0.71754,4.41664
1,promazine,approved_library,3POZ,EGFR,WT,-0.58,-6.1288,0.89182,0.10324,4.76303
1,promazine,approved_library,5UGC,EGFR,L858R+T790M,-0.39,-6.39315,0.49134,0.33528,5.4594
1,promethazine,approved_library,3POZ,EGFR,WT,-0.71,-6.34095,5.2704,0.34742,5.88279
1,promethazine,approved_library,5UGC,EGFR,L858R+T790M,-0.56,-6.51711,1.09232,0.24641,5.45523
1,rimonabant,approved_library,3POZ,EGFR,WT,-2.18,-4.92301,2.02509,0.15516,7.00907
1,rimonabant,approved_library,5UGC,EGFR,L858R+T790M,-1.0,-8.81305,1.83851,0.60469,7.54513
1,rofecoxib,approved_library,3POZ,EGFR,WT,-0.56,-8.25738,0.95032,0.49749,5.24056
1,rofecoxib,approved_library,5UGC,EGFR,L858R+T790M,-0.21,-9.13954,1.33411,0.77449,6.01653
1,sertindole,approved_library,3POZ,EGFR,WT,-0.61,-6.58197,2.47373,0.48694,6.96597
1,sertindole,approved_library,5UGC,EGFR,L858R+T790M,-0.97,-8.71012,3.23376,0.14936,6.22034
1,temafloxacin,approved_library,3POZ,EGFR,WT,-1.0,-8.80151,3.06901,0.0258,4.51694
1,temafloxacin,approved_library,5UGC,EGFR,L858R+T790M,0.21,-9.81228,1.09036,0.64304,7.51557
1,tribromsalan,approved_library,3POZ,EGFR,WT,-0.52,-4.72411,1.48103,0.17945,5.79825
1,tribromsalan,approved_library,5UGC,EGFR,L858R+T790M,-0.44,-4.73201,2.10557,0.15584,5.3922
1,trifluoperazine,approved_library,3POZ,EGFR,WT,-1.29,-7.88992,2.64746,0.20103,6.17077
1,trifluoperazine,approved_library,5UGC,EGFR,L858R+T790M,-1.55,-7.33036,2.62195,0.17802,5.99819
2,amitriptyline,approved_library,3POZ,EGFR,WT,-0.57,-6.58261,3.18648,0.16833,5.00742
2,amitriptyline,approved_library,5UGC,EGFR,L858R+T790M,-0.72,-8.02246,0.69726,0.16716,5.14142
2,apomorphine,approved_library,3POZ,EGFR,WT,0.08,-8.89268,0.35871,0.30885,5.29977
2,apomorphine,approved_library,5UGC,EGFR,L858R+T790M,-0.04,-8.81782,2.55136,0.56514,5.53347
2,bromazepam,approved_library,3POZ,EGFR,WT,-0.2,-5.46348,1.01042,0.66249,6.23397
2,bromazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.02,-7.56753,2.16648,0.89654,6.75714
2,bromocriptine,approved_library,3POZ,EGFR,WT,-1.21,-4.70499,4.91488,0.01821,6.25966
2,bromocriptine,approved_library,5UGC,EGFR,L858R+T790M,-2.46,-1.50439,4.54769,0.03458,6.31175
2,cefprozil-anhydrous-e,approved_library,3POZ,EGFR,WT,-1.61,-7.76786,2.28043,0.10768,5.44114
2,cefprozil-anhydrous-e,approved_library,5UGC,EGFR,L858R+T790M,-1.19,-8.6081,2.25084,0.49971,6.32889
2,chlorpromazine,approved_library,3POZ,EGFR,WT,-0.56,-3.39135,0.82288,0.18325,5.60738
2,chlorpromazine,approved_library,5UGC,EGFR,L858R+T790M,-1.0,-5.73619,2.36902,0.08979,5.12019
2,citalopram,approved_library,3POZ,EGFR,WT,-0.36,-7.60538,0.79761,0.1894,5.43534
2,citalopram,approved_library,5UGC,EGFR,L858R+T790M,-0.79,-7.41461,0.74904,0.25173,5.32215
2,clomipramine,approved_library,3POZ,EGFR,WT,-1.12,-7.19381,3.37763,0.14054,5.40194
2,clomipramine,approved_library,5UGC,EGFR,L858R+T790M,-1.22,-2.42773,1.55136,0.18472,5.18245
2,clonazepam,approved_library,3POZ,EGFR,WT,-0.65,-7.73279,1.21395,0.7733,6.62074
2,clonazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.02,-7.9394,0.90261,0.95061,6.90618
2,cyproheptadine,approved_library,3POZ,EGFR,WT,-1.29,1.03307,1.42848,0.20911,5.8592
2,cyproheptadine,approved_library,5UGC,EGFR,L858R+T790M,-0.6,-3.41411,2.38643,0.11211,5.22018
2,diazepam,approved_library,3POZ,EGFR,WT,-0.1,-7.08462,2.58579,0.21456,5.48249
2,diazepam,approved_library,5UGC,EGFR,L858R+T790M,-1.14,-7.42124,2.50453,0.7889,6.36137
2,ergotamine,approved_library,3POZ,EGFR,WT,-0.57,-5.94771,1.86062,0.07947,6.69597
2,ergotamine,approved_library,5UGC,EGFR,L858R+T790M,-2.54,-12.8645,1.97071,0.25147,6.97245
2,fenoldopam,approved_library,3POZ,EGFR,WT,0.16,-7.87404,0.73714,0.36558,5.56346
2,fenoldopam,approved_library,5UGC,EGFR,L858R+T790M,0.46,-9.23168,0.62509,0.84222,6.373
2,fluoxetine,approved_library,3POZ,EGFR,WT,-0.56,-7.56739,3.50177,0.50365,5.16358
2,fluoxetine,approved_library,5UGC,EGFR,L858R+T790M,-0.19,-7.72123,0.8173,0.38941,5.4248
2,gemfibrozil,approved_library,3POZ,EGFR,WT,-0.86,-4.99596,1.12751,0.31253,4.74452
2,gemfibrozil,approved_library,5UGC,EGFR,L858R+T790M,-0.71,-6.44651,1.25406,0.30199,5.28015
2,gemifloxacin,approved_library,3POZ,EGFR,WT,-0.04,-7.49641,1.41468,0.64899,6.97855
2,gemifloxacin,approved_library,5UGC,EGFR,L858R+T790M,-0.21,-7.6278,1.07713,0.28806,6.69258
2,indinavir-anhydrous,approved_library,3POZ,EGFR,WT,-1.74,-6.15126,1.55748,0.23378,7.60653
2,indinavir-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,-2.61,-7.28312,2.7799,0.14523,6.71432
2,levofloxacin-anhydrous,approved_library,3POZ,EGFR,WT,0.15,-7.27002,3.0636,0.56153,6.2423
2,levofloxacin-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,0.46,-8.30678,0.89375,0.50035,6.25585
2,levorphanol,approved_library,3POZ,EGFR,WT,-0.85,-5.78856,3.78148,0.09167,4.30001
2,levorphanol,approved_library,5UGC,EGFR,L858R+T790M,-1.06,-6.5163,2.16332,0.19596,5.64196
2,lorazepam,approved_library,3POZ,EGFR,WT,-0.15,-7.76746,1.01493,0.52357,6.14975
2,lorazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.08,-7.0918,2.40115,0.84858,6.65923
2,mitoxantrone,approved_library,3POZ,EGFR,WT,-0.99,-8.13634,1.64134,0.74064,6.62859
2,mitoxantrone,approved_library,5UGC,EGFR,L858R+T790M,0.08,-8.23464,1.89329,0.96919,7.96337
2,molindone,approved_library,3POZ,EGFR,WT,-0.36,-6.43622,1.74229,0.50155,5.8735
2,molindone,approved_library,5UGC,EGFR,L858R+T790M,-0.54,-6.97705,2.76594,0.67774,6.43384
2,morphine,approved_library,3POZ,EGFR,WT,-0.49,-7.23365,2.2587,0.11345,4.87513
2,morphine,approved_library,5UGC,EGFR,L858R+T790M,-0.4,-6.05892,2.4937,0.31913,5.59109
2,moxifloxacin,approved_library,3POZ,EGFR,WT,-0.73,-3.47798,1.78841,0.03181,4.54294
2,moxifloxacin,approved_library,5UGC,EGFR,L858R+T790M,0.13,-8.18337,0.84067,0.51666,6.93679
2,nomifensine,approved_library,3POZ,EGFR,WT,-0.71,-7.21971,2.74103,0.08174,4.23863
2,nomifensine,approved_library,5UGC,EGFR,L858R+T790M,-0.44,-8.07546,1.24444,0.72218,5.88451
2,probucol,approved_library,3POZ,EGFR,WT,-1.1,-7.05284,1.62962,0.11909,6.27715
2,probucol,approved_library,5UGC,EGFR,L858R+T790M,-2.21,-9.5076,1.69038,0.38127,7.88929
2,procaine,approved_library,3POZ,EGFR,WT,-0.44,-5.66101,1.16192,0.20401,4.03091
2,procaine,approved_library,5UGC,EGFR,L858R+T790M,0.07,-6.32745,0.98393,0.71757,4.41662
2,promazine,approved_library,3POZ,EGFR,WT,-0.57,-3.62587,0.63306,0.2823,5.5215
2,promazine,approved_library,5UGC,EGFR,L858R+T790M,-0.43,-6.44586,0.92407,0.27511,5.46051
2,promethazine,approved_library,3POZ,EGFR,WT,-0.35,-7.249,1.16477,0.74158,6.24266
2,promethazine,approved_library,5UGC,EGFR,L858R+T790M,-0.57,-6.32075,0.98217,0.26934,5.63768
2,rimonabant,approved_library,3POZ,EGFR,WT,-1.98,-5.44876,2.46124,0.08091,6.95509
2,rimonabant,approved_library,5UGC,EGFR,L858R+T790M,-1.04,-8.60596,1.60313,0.38759,7.04889
2,rofecoxib,approved_library,3POZ,EGFR,WT,-0.25,-7.98151,1.00009,0.46509,5.24985
2,rofecoxib,approved_library,5UGC,EGFR,L858R+T790M,-0.33,-9.11855,1.06865,0.85642,6.09977
2,sertindole,approved_library,3POZ,EGFR,WT,-0.65,-8.78773,1.61534,0.19051,6.15698
2,sertindole,approved_library,5UGC,EGFR,L858R+T790M,-0.91,-7.83749,2.21599,0.17404,6.27011
2,temafloxacin,approved_library,3POZ,EGFR,WT,0.05,-8.79724,1.8852,0.17829,6.67284
2,temafloxacin,approved_library,5UGC,EGFR,L858R+T790M,0.21,-10.4145,1.25273,0.58741,7.35856
2,tribromsalan,approved_library,3POZ,EGFR,WT,-0.47,-4.88419,1.29222,0.38414,6.11114
2,tribromsalan,approved_library,5UGC,EGFR,L858R+T790M,-0.89,-7.21331,2.71017,0.5204,6.41032
2,trifluoperazine,approved_library,3POZ,EGFR,WT,-1.03,-6.48136,0.91305,0.05326,5.95682
2,trifluoperazine,approved_library,5UGC,EGFR,L858R+T790M,-1.28,-6.54309,1.56498,0.04055,5.6512
3,amitriptyline,approved_library,3POZ,EGFR,WT,-0.52,-4.13807,1.32231,0.27226,5.51519
3,amitriptyline,approved_library,5UGC,EGFR,L858R+T790M,-0.24,-7.43964,1.5054,0.25066,5.58776
3,apomorphine,approved_library,3POZ,EGFR,WT,-0.44,-8.56704,1.46513,0.21935,5.02724
3,apomorphine,approved_library,5UGC,EGFR,L858R+T790M,0.28,-9.47785,0.86263,0.90075,6.33623
3,bromazepam,approved_library,3POZ,EGFR,WT,-0.24,-5.41183,1.0908,0.66265,6.29009
3,bromazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.0,-7.56762,2.13308,0.89653,6.75722
3,bromocriptine,approved_library,3POZ,EGFR,WT,-1.32,-6.97075,3.91118,0.04933,6.12208
3,bromocriptine,approved_library,5UGC,EGFR,L858R+T790M,-2.7,25.91407,1.23156,0.57762,7.58017
3,cefprozil-anhydrous-e,approved_library,3POZ,EGFR,WT,-0.95,-7.41439,1.70982,0.28096,5.6202
3,cefprozil-anhydrous-e,approved_library,5UGC,EGFR,L858R+T790M,-0.92,-6.41796,2.44953,0.03521,4.88159
3,chlorpromazine,approved_library,3POZ,EGFR,WT,-0.6,-3.37346,0.67991,0.27087,5.75458
3,chlorpromazine,approved_library,5UGC,EGFR,L858R+T790M,-1.13,-5.45885,1.49903,0.13992,5.89714
3,citalopram,approved_library,3POZ,EGFR,WT,-0.35,-6.06861,1.24692,0.42137,6.01227
3,citalopram,approved_library,5UGC,EGFR,L858R+T790M,-0.67,-7.32977,0.88385,0.25036,5.25533
3,clomipramine,approved_library,3POZ,EGFR,WT,-1.02,0.12216,1.86422,0.20623,5.66492
3,clomipramine,approved_library,5UGC,EGFR,L858R+T790M,-0.62,-8.2439,1.012,0.7741,6.26907
3,clonazepam,approved_library,3POZ,EGFR,WT,-0.67,-7.7327,1.17293,0.77333,6.6209
3,clonazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.14,-7.91291,0.4562,0.95408,6.93476
3,cyproheptadine,approved_library,3POZ,EGFR,WT,-0.83,-9.28742,0.88864,0.11612,4.88279
3,cyproheptadine,approved_library,5UGC,EGFR,L858R+T790M,-0.63,-7.2785,1.34071,0.24042,5.7387
3,diazepam,approved_library,3POZ,EGFR,WT,-0.0,-7.39556,0.98764,0.45179,5.68012
3,diazepam,approved_library,5UGC,EGFR,L858R+T790M,-1.08,-7.42146,2.527,0.78898,6.36172
3,ergotamine,approved_library,3POZ,EGFR,WT,-2.14,-7.04613,7.89657,0.01877,5.95238
3,ergotamine,approved_library,5UGC,EGFR,L858R+T790M,-2.11,-8.8141,3.50771,0.15817,6.72421
3,fenoldopam,approved_library,3POZ,EGFR,WT,0.01,-7.7837,0.74632,0.21397,5.37381
3,fenoldopam,approved_library,5UGC,EGFR,L858R+T790M,0.54,-9.23138,0.64533,0.84222,6.37296
3,fluoxetine,approved_library,3POZ,EGFR,WT,-0.28,-7.60496,1.35517,0.32057,5.21599
3,fluoxetine,approved_library,5UGC,EGFR,L858R+T790M,-0.3,-7.79606,0.70475,0.36678,5.39143
3,gemfibrozil,approved_library,3POZ,EGFR,WT,-0.99,-6.44036,1.55317,0.57824,5.49094
3,gemfibrozil,approved_library,5UGC,EGFR,L858R+T790M,-1.45,-6.35561,1.64205,0.4009,4.91244
3,gemifloxacin,approved_library,3POZ,EGFR,WT,-0.21,-8.45933,1.6074,0.2239,6.57834
3,gemifloxacin,approved_library,5UGC,EGFR,L858R+T790M,-0.23,-7.92484,1.73205,0.50961,7.06399
3,indinavir-anhydrous,approved_library,3POZ,EGFR,WT,-1.67,-6.93335,2.56947,0.08667,6.42475
3,indinavir-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,-2.86,-6.62505,1.84868,0.09405,6.43342
3,levofloxacin-anhydrous,approved_library,3POZ,EGFR,WT,0.13,-7.54472,0.95979,0.71974,6.58636
3,levofloxacin-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,0.51,-8.37408,0.88387,0.41477,6.16312
3,levorphanol,approved_library,3POZ,EGFR,WT,-0.74,-5.78853,3.74803,0.09165,4.30014
3,levorphanol,approved_library,5UGC,EGFR,L858R+T790M,-1.06,-6.51687,2.1027,0.19597,5.64195
3,lorazepam,approved_library,3POZ,EGFR,WT,-0.31,-7.77699,1.47176,0.7844,6.06228
3,lorazepam,approved_library,5UGC,EGFR,L858R+T790M,-0.12,-7.09173,2.32441,0.84858,6.65925
3,mitoxantrone,approved_library,3POZ,EGFR,WT,-1.01,-6.9739,1.27184,0.67792,6.36668
3,mitoxantrone,approved_library,5UGC,EGFR,L858R+T790M,0.04,-7.99786,1.04454,0.96099,7.69883
3,molindone,approved_library,3POZ,EGFR,WT,-0.42,-5.64224,0.34763,0.27245,5.35128
3,molindone,approved_library,5UGC,EGFR,L858R+T790M,-0.5,-5.8693,1.56542,0.21745,5.6867
3,morphine,approved_library,3POZ,EGFR,WT,-0.6,-7.1783,3.74548,0.05722,4.34292
3,morphine,approved_library,5UGC,EGFR,L858R+T790M,-0.45,-7.2712,1.71355,0.58144,5.92891
3,moxifloxacin,approved_library,3POZ,EGFR,WT,-0.76,-3.87319,1.84065,0.02913,4.53711
3,moxifloxacin,approved_library,5UGC,EGFR,L858R+T790M,0.14,-8.18343,0.8142,0.51671,6.9368
3,nomifensine,approved_library,3POZ,EGFR,WT,-0.69,-7.23212,2.85352,0.08064,4.2349
3,nomifensine,approved_library,5UGC,EGFR,L858R+T790M,-0.44,-8.05733,1.15609,0.71988,5.88097
3,probucol,approved_library,3POZ,EGFR,WT,-1.05,-7.07083,1.3327,0.11971,6.21178
3,probucol,approved_library,5UGC,EGFR,L858R+T790M,-2.81,-7.09513,1.95463,0.10607,7.16139
3,procaine,approved_library,3POZ,EGFR,WT,-0.97,-5.3088,2.20775,0.39802,4.32059
3,procaine,approved_library,5UGC,EGFR,L858R+T790M,0.05,-6.32746,1.10811,0.71755,4.41654
3,promazine,approved_library,3POZ,EGFR,WT,-0.62,-3.60592,0.64027,0.3107,5.57021
3,promazine,approved_library,5UGC,EGFR,L858R+T790M,-0.57,-6.15013,2.31389,0.2829,5.54434
