rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,acebutolol,approved_library,3POZ,EGFR,WT,-0.7,-6.86579,2.37595,0.75518,6.24577
1,acebutolol,approved_library,5UGC,EGFR,L858R+T790M,-0.71,-1.08259,1.37845,0.56653,6.37415
1,acetaminophen,approved_library,3POZ,EGFR,WT,0.09,-4.73183,1.6921,0.49083,3.41126
1,acetaminophen,approved_library,5UGC,EGFR,L858R+T790M,0.27,-5.04151,5.16481,0.55326,4.69338
1,acetazolamide,approved_library,3POZ,EGFR,WT,0.18,-4.97106,0.65541,0.95371,4.48486
1,acetazolamide,approved_library,5UGC,EGFR,L858R+T790M,0.73,-5.4275,0.68223,0.91442,4.58043
1,acetylcysteine,approved_library,3POZ,EGFR,WT,-0.56,-3.46924,1.01215,0.83116,4.26487
1,acetylcysteine,approved_library,5UGC,EGFR,L858R+T790M,-0.28,-3.36161,0.85985,0.81615,4.34114
1,adagrasib,known_answer,3POZ,EGFR,WT,-2.55,-7.55178,2.99869,0.01308,6.50939
1,adagrasib,known_answer,5UGC,EGFR,L858R+T790M,-2.05,-7.78435,3.22967,0.02793,6.6858
1,adenosine,approved_library,3POZ,EGFR,WT,0.1,-6.85791,1.93705,0.93101,5.04567
1,adenosine,approved_library,5UGC,EGFR,L858R+T790M,0.01,-7.16841,0.45554,0.98389,5.86799
1,afatinib,egfr_family,3POZ,EGFR,WT,-1.18,-7.98057,2.21355,0.24887,7.49457
1,afatinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.52,-6.53459,4.33232,0.11942,6.87137
1,agomelatine,approved_library,3POZ,EGFR,WT,-0.74,-6.69516,0.80834,0.57274,5.24255
1,agomelatine,approved_library,5UGC,EGFR,L858R+T790M,-0.82,-7.119,1.09929,0.28896,4.86972
1,alfentanil,approved_library,3POZ,EGFR,WT,-0.69,-5.44863,0.7265,0.58768,6.87767
